dijkstra_time_ms,bellman_ford_time_ms,size_n
0.00027811,0.000515246,170
0.000166637,0.00031698,170
0.000162051,0.000308954,170
0.000282308,0.000504236,170
0.000287331,0.000529959,170
0.000162011,0.000308504,170
0.000167064,0.000312183,170
0.000277818,0.000513897,170
0.000285056,0.000512859,170
0.000163573,0.000308703,170
0.000165011,0.000303531,170
0.0003119,0.000573248,180
0.000320348,0.000566793,180
0.000196098,0.000347829,180
0.000324706,0.000565652,180
0.000313781,0.000565788,180
0.000181405,0.000360054,180
0.000188835,0.000357613,180
0.000319648,0.000620846,180
0.000316624,0.000574386,180
0.000180263,0.000365694,180
0.000324371,0.000570284,180
0.000327814,0.000599656,180
0.000341056,0.000342249,180
0.000327439,0.000560466,180
0.000315008,0.00056599,180
0.000179027,0.000349144,180
0.000179532,0.00034385,180
0.000322338,0.000608528,180
0.000315205,0.000561852,180
0.000319833,0.000560605,180
0.00031661,0.000639621,180
0.000320313,0.000564364,180
0.000313094,0.000638763,180
0.000317605,0.000560361,180
0.00032562,0.000564953,180
0.000316983,0.000565039,180
0.000296799,0.000346303,180
0.000321046,0.000563217,180
0.000316801,0.000571751,180
0.000323246,0.000560157,180
0.000208597,0.000345611,180
0.00033668,0.000560506,180
0.000354921,0.000628521,190
0.000359373,0.000636627,190
0.000364047,0.000627174,190
0.000365949,0.000664036,190
0.000350217,0.000542507,190
0.000240176,0.000643937,190
0.000253687,0.000405418,190
0.000373549,0.000654134,190
0.000216127,0.000407462,190
0.000231456,0.000448426,190
0.000217612,0.000403598,190
0.0003721,0.000661381,190
0.000218069,0.000454683,190
0.000214664,0.000412354,190
0.00023006,0.000413458,190
0.000357671,0.000445864,190
0.000203247,0.000420949,190
0.000355875,0.000631818,190
0.000359631,0.000623832,190
0.000330436,0.000380308,190
0.000351966,0.000630285,190
0.000354131,0.000628861,190
0.000352156,0.000631472,190
0.000198873,0.000396522,190
0.000363981,0.000624186,190
0.000359669,0.000693945,190
0.000345666,0.00068584,190
0.000355847,0.000630519,190
0.00036101,0.000623672,190
0.000353287,0.000635645,190
0.00019941,0.000390182,190
0.000349376,0.000629169,190
0.000395381,0.000690522,200
0.000394262,0.00075252,200
0.000493781,0.000443834,200
0.000383763,0.000694144,200
0.000391303,0.000597846,200
0.0002364,0.000438463,200
0.000402791,0.000690311,200
0.000389369,0.000695759,200
0.000222072,0.00048828,200
0.000397458,0.000691955,200
0.000389331,0.000696044,200
0.00057348,0.000420283,200
0.000390361,0.000696019,200
0.000388925,0.000762029,200
0.000411959,0.000694424,200
0.000486641,0.000697063,200
0.000386996,0.000704549,200
0.000332435,0.000423101,200
0.000395321,0.000609939,200
0.000400828,0.000690249,200
0.000393562,0.000655035,200
0.000395618,0.000701506,200
0.000388193,0.000587764,200
0.000424163,0.000695026,200
0.00038759,0.00069609,200
0.000218407,0.000425074,200
0.00038362,0.000691193,200
0.000244121,0.000456161,200
0.000409492,0.000706585,200
0.000395971,0.000696094,200
0.000222442,0.000428864,200
0.00039279,0.0007001,200
0.000442833,0.000771033,210
0.000243197,0.000499986,210
0.000242677,0.000499886,210
0.000257853,0.000497409,210
0.000440334,0.000764077,210
0.000652657,0.000469905,210
0.000254388,0.000466317,210
0.000435012,0.000766493,210
0.0002479,0.000463409,210
0.000247775,0.000471963,210
0.000428623,0.000655062,210
0.000241738,0.000478611,210
0.000247952,0.000465704,210
0.000430969,0.000763628,210
0.000429248,0.000578717,210
0.000500941,0.000496139,210
0.00046663,0.000766244,210
0.0004375,0.000460161,210
0.000242046,0.000465683,210
0.000436239,0.000683738,210
0.000437522,0.000768851,210
0.000388957,0.000487894,210
0.000429212,0.000767501,210
0.000399752,0.000489893,210
0.000240992,0.00050238,210
0.00043731,0.000772265,210
0.000435611,0.000783842,210
0.000246035,0.00046277,210
0.000434696,0.000764603,210
0.000440558,0.000761098,210
0.00042624,0.000768195,210
0.000271864,0.000497543,210
0.000260044,0.000505806,220
0.000479338,0.000917248,220
0.000265865,0.000552987,220
0.000476603,0.000836892,220
0.000568525,0.000539094,220
0.000266331,0.000505069,220
0.000474301,0.000834515,220
0.000480082,0.000794344,220
0.000274041,0.000530852,220
0.000499732,0.000859096,220
0.000477489,0.000544881,220
0.000269128,0.000514058,220
0.000474794,0.000838304,220
0.000466775,0.000843753,220
0.000266086,0.000514297,220
0.000481448,0.000840556,220
0.000490233,0.000567505,220
0.000265708,0.000545748,220
0.000476236,0.000847072,220
0.000565739,0.000847201,220
0.000480408,0.000841313,220
0.000468836,0.000840371,220
0.000476305,0.000835893,220
0.000260111,0.000521323,220
0.000485372,0.00087836,220
0.00047164,0.000852938,220
0.000476122,0.000680917,220
0.000477664,0.000847956,220
0.000468003,0.000852102,220
0.0005231,0.000564778,220
0.000474554,0.000835214,220
0.000471418,0.000743109,220
0.000429495,0.000577015,230
0.00030519,0.000594548,230
0.000533029,0.000941679,230
0.000293918,0.000555729,230
0.000523161,0.000914491,230
0.000523445,0.000915805,230
0.000284994,0.000583129,230
0.000531666,0.000912315,230
0.00053043,0.00092495,230
0.000528099,0.000977968,230
0.000521514,0.000913974,230
0.000293202,0.000635101,230
0.000288084,0.000564519,230
0.000519494,0.000992451,230
0.000616056,0.000581164,230
0.000514406,0.000914569,230
0.00065772,0.000551982,230
0.000283862,0.000550575,230
0.000534974,0.000913638,230
0.000514136,0.000595279,230
0.000286738,0.000667548,230
0.000539143,0.000939875,230
0.000517879,0.000948052,230
0.000514121,0.00102119,230
0.000542952,0.000927952,230
0.000336319,0.000618229,230
0.000537518,0.000948853,230
0.000513431,0.000949389,230
0.00052466,0.000912528,230
0.000283882,0.00055079,230
0.000517891,0.000969522,230
0.000287354,0.000569804,230
0.000553448,0.00111252,240
0.000577597,0.00102737,240
0.000581035,0.00102983,240
0.000557574,0.00100805,240
0.000417346,0.00063353,240
0.000576847,0.000994358,240
0.000565685,0.000784355,240
0.000543739,0.00100332,240
0.000552939,0.000995728,240
0.000557615,0.000756313,240
0.000561781,0.000998335,240
0.000316931,0.000622493,240
0.000312245,0.000672913,240
0.000562832,0.00105793,240
0.000565535,0.0010119,240
0.00034123,0.000639163,240
0.000570156,0.000995341,240
0.00056623,0.000927289,240
0.000567986,0.000996276,240
0.000585734,0.00101252,240
0.00034909,0.000625476,240
0.000307565,0.000636653,240
0.00055652,0.00100224,240
0.000425665,0.000650899,240
0.000571734,0.00102416,240
0.000346014,0.000611586,240
0.000355426,0.000624657,240
0.000572548,0.00113356,240
0.000576643,0.000994449,240
0.000305609,0.000650555,240
0.000571355,0.000998177,240
0.0005776,0.00101173,240
0.000333266,0.000688464,250
0.000600084,0.00108468,250
0.000380228,0.000649681,250
0.000344108,0.000694986,250
0.000611325,0.00107858,250
0.000622138,0.00108281,250
0.000647809,0.0011115,250
0.000709423,0.000694839,250
0.000614177,0.00108586,250
0.000619146,0.00107969,250
0.000344252,0.000676453,250
0.000336568,0.000680804,250
0.000635862,0.00109858,250
0.000606801,0.00103324,250
0.000627995,0.00111446,250
0.000353124,0.000649866,250
0.000335811,0.000650003,250
0.000610085,0.00109036,250
0.0006043,0.000856005,250
0.000646575,0.00109375,250
0.000605918,0.00108196,250
0.000620214,0.000957679,250
0.000608674,0.00108456,250
0.000338531,0.000673593,250
0.000543387,0.00068565,250
0.000640642,0.00107756,250
0.000337317,0.000651826,250
0.000479651,0.00070183,250
0.000645018,0.00116032,250
0.000605176,0.00101542,250
0.000617526,0.00109813,250
0.000340909,0.000670506,250
0.000669592,0.0011838,260
0.000688269,0.000936704,260
0.00066535,0.000892523,260
0.000634522,0.0012496,260
0.000365334,0.000721911,260
0.000420246,0.000757828,260
0.000678862,0.00118725,260
0.000382397,0.000719345,260
0.000402923,0.000775093,260
0.000684194,0.00110762,260
0.00063169,0.000723198,260
0.000659669,0.001168,260
0.000486393,0.000817852,260
0.000698338,0.00117381,260
0.000649706,0.000867675,260
0.000417132,0.000753725,260
0.000666457,0.00118943,260
0.000384328,0.000708692,260
0.000667854,0.00117681,260
0.000661977,0.00103882,260
0.000549868,0.000717743,260
0.000438376,0.000723641,260
0.000697833,0.000761735,260
0.000513275,0.000751771,260
0.000651496,0.00116697,260
0.000376607,0.000770399,260
0.00035664,0.000721819,260
0.000369008,0.000731569,260
0.000358881,0.000706435,260
0.00066383,0.00116545,260
0.000369994,0.000789651,260
0.00065793,0.00116894,260
0.000745343,0.000854294,270
0.00079412,0.000769019,270
0.000707393,0.0013228,270
0.000423485,0.000808377,270
0.000780316,0.00125692,270
0.000570797,0.000795649,270
0.000749882,0.00128199,270
0.000727546,0.000976927,270
0.000719103,0.00116137,270
0.000702323,0.00126314,270
0.000741102,0.00120884,270
0.000708586,0.00126475,270
0.000387597,0.000765132,270
0.000386937,0.000804323,270
0.000600305,0.000867865,270
0.0007173,0.0011788,270
0.000696657,0.00125657,270
0.000385552,0.000786729,270
0.000383001,0.000830719,270
0.000758491,0.00117817,270
0.00069776,0.00101346,270
0.000706213,0.00125968,270
0.00039511,0.000792722,270
0.000380545,0.000752721,270
0.000448593,0.000803335,270
0.000404334,0.000757182,270
0.000721697,0.00126317,270
0.00054265,0.000809849,270
0.000705514,0.00125962,270
0.000733496,0.00126151,270
0.000421827,0.000760402,270
0.00081819,0.00127303,270
0.000795634,0.000896098,280
0.000441006,0.000822351,280
0.000765795,0.00135039,280
0.000789646,0.00129362,280
0.000760162,0.00135081,280
0.000793163,0.00135171,280
0.000751246,0.00138397,280
0.000810116,0.00136098,280
0.000774568,0.00135201,280
0.00076049,0.00143557,280
0.0004487,0.000954808,280
0.000762823,0.00135385,280
0.000913855,0.000834595,280
0.000782567,0.00135801,280
0.00063898,0.000865551,280
0.00041638,0.000850227,280
0.000761545,0.00137505,280
0.000784609,0.00102615,280
0.000460151,0.00092807,280
0.000769892,0.00103003,280
0.000409084,0.000822767,280
0.00078141,0.00136374,280
0.000562252,0.000894106,280
0.000424489,0.000820875,280
0.000760046,0.00136424,280
0.000766732,0.000977845,280
0.000409483,0.000831568,280
0.000791608,0.000896856,280
0.000458225,0.000820471,280
0.000743604,0.00135555,280
0.000433715,0.000860877,280
0.000424633,0.000918154,280
0.000829672,0.001457,290
0.000451246,0.000907287,290
0.000854236,0.00152088,290
0.00044409,0.000942443,290
0.000823381,0.00145103,290
0.000869729,0.000881511,290
0.0008878,0.00132781,290
0.000470735,0.000914582,290
0.000604679,0.000890001,290
0.000819178,0.00146134,290
0.000484803,0.000883037,290
0.000817795,0.0014483,290
0.000571308,0.000912637,290
0.000592616,0.00089719,290
0.000819695,0.001518,290
0.000849269,0.00116645,290
0.00081751,0.00145537,290
0.000834457,0.00126424,290
0.000808209,0.00145537,290
0.000465807,0.000867093,290
0.000437675,0.000863832,290
0.000830051,0.00133645,290
0.000830013,0.0010557,290
0.000905267,0.00144866,290
0.000476063,0.0009204,290
0.00081387,0.00127595,290
0.000826185,0.00112446,290
0.000810113,0.00144681,290
