size_n,dijkstra_time_ms_mean,dijkstra_time_ms_std,bellman_ford_time_ms_mean,bellman_ford_time_ms_std,reps
2330,0.04594074375,0.008126889280266524,0.08744859375,0.011432119547762609,32
2340,0.039864003125,0.0018721169634073978,0.07704678125,0.0017676005313414101,32
2350,0.0417228,0.003698689193315653,0.08099443125,0.0068632208544183865,32
2360,0.039927746875,0.0015858892332033265,0.077776825,0.001746298451725821,32
2370,0.042086690625,0.00253057358732158,0.08120215625,0.003590377503127064,32
2380,0.04102849375,0.0014273356260305198,0.08006221250000001,0.0015442152090038319,32
2390,0.0435514625,0.0046790984515415746,0.08350640625,0.005975783049104188,32
2400,0.045750540625,0.005491673793222072,0.086242915625,0.004086949330422799,32
2410,0.042800725,0.002079863442482462,0.082586540625,0.0031173992120695927,32
2420,0.04305435625,0.0019096789352102976,0.082587559375,0.0019575912315680493,32
2430,0.042486940625,0.001514729502431741,0.08273624375,0.002579154900100213,32
2440,0.043871284375,0.002356974203575076,0.084208575,0.003409934080191288,32
2450,0.043332078125,0.0021193067414154525,0.083499290625,0.0019440440194603641,32
2460,0.044338659375,0.0036909669532403165,0.08356176875,0.0017935797923492114,32
2470,0.045355071875,0.0021755065095906945,0.08734479375,0.004174322375992411,32
2480,0.045051503125,0.0031315259585468448,0.08587867187499999,0.00428880959374469,32
2490,0.045932803125,0.00268699803399216,0.088754215625,0.005184402403430251,32
2500,0.04796014375,0.005457712897584568,0.09125634375,0.006373994722451214,32
2510,0.04657843125,0.0021989172252266428,0.089662890625,0.002066385988471081,32
2520,0.047335821875,0.002191081450268105,0.0905167875,0.0026499591543727133,32
2530,0.047421559375,0.0018829521619752076,0.090883028125,0.002639264789107278,32
2540,0.04968229375,0.004201343356143477,0.094527353125,0.006094727558820019,32
2550,0.0474308875,0.001756430485343428,0.09180638125,0.003090128979249641,32
2560,0.047449790625,0.0011331125982110555,0.0919067,0.0024725328926022403,32
2570,0.047502553125,0.001925848882633379,0.0919519125,0.0018826203785797468,32
2580,0.048476978125,0.002386677720406336,0.092738284375,0.0018616450539625856,32
2590,0.052504075,0.008881522811151251,0.099072471875,0.008752953695190354,32
2600,0.04983681875,0.002745489169920078,0.096153,0.0030849938718537184,32
2610,0.05107466875,0.0027109455420846126,0.097424225,0.0034313799022769246,32
2620,0.051473175,0.0027153483641606654,0.09996786875,0.004659299849725112,32
2630,0.051427871874999996,0.0021941812300141678,0.099068784375,0.003418058996538585,32
2640,0.0535783875,0.003505559938935398,0.101953309375,0.004457090276974386,32
2650,0.051921840625,0.0019037611310999888,0.10057039375,0.0025005106864570575,32
2660,0.052615615625,0.0026768139242518067,0.100427821875,0.0021331552776542046,32
2670,0.052554378125,0.0017291535864286276,0.10078725625,0.0019235175405259337,32
2680,0.0533694375,0.0028749136480238414,0.102691515625,0.004674603124337761,32
2690,0.053288884375,0.0018623213333950617,0.10244635,0.002240001424525217,32
2700,0.05319244375,0.0021273886414653843,0.103087871875,0.0033576127126682563,32
2710,0.053653521875,0.0020236442416366037,0.1027355,0.0017665929426441166,32
2720,0.05444850625,0.0021168939083799024,0.10390425,0.0025293270350035795,32
2730,0.054482565625,0.002059623852735218,0.103987125,0.0021994743796814272,32
2740,0.055584309375,0.002434098286244746,0.1048916875,0.0017477557115752052,32
2750,0.05463993125,0.0011385370628128177,0.1059463125,0.002435661979286894,32
